Frame 0: Cars=2, Status=3 points (Congested), Density=0.06, AvgSpeed=10.95, Score=3
Frame 1: Cars=2, Status=3 points (Congested), Density=0.06, AvgSpeed=11.02, Score=3
Frame 2: Cars=2, Status=3 points (Congested), Density=0.07, AvgSpeed=11.11, Score=3
Frame 3: Cars=2, Status=3 points (Congested), Density=0.07, AvgSpeed=11.23, Score=3
Frame 4: Cars=3, Status=3 points (Congested), Density=0.07, AvgSpeed=11.33, Score=3
Frame 5: Cars=3, Status=3 points (Congested), Density=0.07, AvgSpeed=11.43, Score=3
Frame 6: Cars=3, Status=3 points (Congested), Density=0.08, AvgSpeed=11.56, Score=3
Frame 7: Cars=3, Status=3 points (Congested), Density=0.08, AvgSpeed=11.67, Score=3
Frame 8: Cars=3, Status=3 points (Congested), Density=0.08, AvgSpeed=11.77, Score=3
Frame 9: Cars=3, Status=3 points (Congested), Density=0.09, AvgSpeed=11.88, Score=3
Frame 10: Cars=3, Status=3 points (Congested), Density=0.09, AvgSpeed=11.99, Score=3
Frame 11: Cars=4, Status=3 points (Congested), Density=0.09, AvgSpeed=11.26, Score=3
Frame 12: Cars=4, Status=3 points (Congested), Density=0.09, AvgSpeed=11.10, Score=3
Frame 13: Cars=4, Status=3 points (Congested), Density=0.10, AvgSpeed=10.85, Score=3
Frame 14: Cars=4, Status=3 points (Congested), Density=0.10, AvgSpeed=10.63, Score=3
Frame 15: Cars=4, Status=3 points (Congested), Density=0.10, AvgSpeed=10.31, Score=3
Frame 16: Cars=4, Status=3 points (Congested), Density=0.10, AvgSpeed=9.97, Score=3
Frame 17: Cars=4, Status=3 points (Congested), Density=0.10, AvgSpeed=9.63, Score=3
Frame 18: Cars=4, Status=3 points (Congested), Density=0.10, AvgSpeed=9.75, Score=3
Frame 19: Cars=5, Status=3 points (Congested), Density=0.10, AvgSpeed=8.84, Score=3
Frame 20: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.63, Score=3
Frame 21: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.75, Score=3
Frame 22: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.86, Score=3
Frame 23: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.60, Score=3
Frame 24: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.40, Score=3
Frame 25: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.24, Score=3
Frame 26: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=8.02, Score=3
Frame 27: Cars=5, Status=3 points (Congested), Density=0.11, AvgSpeed=7.85, Score=3
Frame 28: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=7.72, Score=3
Frame 29: Cars=6, Status=3 points (Congested), Density=0.12, AvgSpeed=7.82, Score=3
Frame 30: Cars=6, Status=4 points (Congested), Density=0.12, AvgSpeed=5.23, Score=4
Frame 31: Cars=6, Status=4 points (Congested), Density=0.12, AvgSpeed=5.32, Score=4
Frame 32: Cars=6, Status=3 points (Congested), Density=0.12, AvgSpeed=5.45, Score=3
Frame 33: Cars=6, Status=4 points (Congested), Density=0.13, AvgSpeed=5.24, Score=4
Frame 34: Cars=6, Status=4 points (Congested), Density=0.12, AvgSpeed=4.74, Score=4
Frame 35: Cars=7, Status=4 points (Congested), Density=0.12, AvgSpeed=4.49, Score=4
Frame 36: Cars=7, Status=4 points (Congested), Density=0.12, AvgSpeed=4.36, Score=4
Frame 37: Cars=7, Status=4 points (Congested), Density=0.12, AvgSpeed=4.27, Score=4
Frame 38: Cars=7, Status=4 points (Congested), Density=0.13, AvgSpeed=4.31, Score=4
Frame 39: Cars=7, Status=4 points (Congested), Density=0.13, AvgSpeed=4.43, Score=4
Frame 40: Cars=7, Status=4 points (Congested), Density=0.13, AvgSpeed=4.53, Score=4
Frame 41: Cars=7, Status=4 points (Congested), Density=0.14, AvgSpeed=4.65, Score=4
Frame 42: Cars=8, Status=4 points (Congested), Density=0.14, AvgSpeed=4.72, Score=4
Frame 43: Cars=8, Status=4 points (Congested), Density=0.14, AvgSpeed=4.81, Score=4
Frame 44: Cars=8, Status=4 points (Congested), Density=0.14, AvgSpeed=4.89, Score=4
Frame 45: Cars=8, Status=4 points (Congested), Density=0.14, AvgSpeed=5.01, Score=4
Frame 46: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.10, Score=4
Frame 47: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.13, Score=4
Frame 48: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.22, Score=4
Frame 49: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.33, Score=4
Frame 50: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.44, Score=4
Frame 51: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.50, Score=4
Frame 52: Cars=8, Status=4 points (Congested), Density=0.15, AvgSpeed=5.53, Score=4
Frame 53: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.51, Score=4
Frame 54: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.56, Score=4
Frame 55: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.56, Score=4
Frame 56: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.52, Score=4
Frame 57: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.54, Score=4
Frame 58: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.55, Score=4
Frame 59: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.53, Score=4
Frame 60: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.52, Score=4
Frame 61: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.50, Score=4
Frame 62: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.50, Score=4
Frame 63: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.49, Score=4
Frame 64: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.51, Score=4
Frame 65: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.51, Score=4
Frame 66: Cars=8, Status=4 points (Congested), Density=0.16, AvgSpeed=5.51, Score=4
Frame 67: Cars=8, Status=4 points (Congested), Density=0.17, AvgSpeed=5.52, Score=4
Frame 68: Cars=8, Status=4 points (Congested), Density=0.17, AvgSpeed=5.50, Score=4
Frame 69: Cars=8, Status=4 points (Congested), Density=0.17, AvgSpeed=5.53, Score=4
Frame 70: Cars=8, Status=4 points (Congested), Density=0.17, AvgSpeed=5.55, Score=4
Frame 71: Cars=8, Status=4 points (Congested), Density=0.17, AvgSpeed=5.53, Score=4
Frame 72: Cars=8, Status=4 points (Congested), Density=0.17, AvgSpeed=5.54, Score=4
Frame 73: Cars=8, Status=4 points (Congested), Density=0.18, AvgSpeed=5.56, Score=4
Frame 74: Cars=8, Status=4 points (Congested), Density=0.18, AvgSpeed=5.55, Score=4
Frame 75: Cars=8, Status=4 points (Congested), Density=0.18, AvgSpeed=5.56, Score=4
Frame 76: Cars=8, Status=4 points (Congested), Density=0.18, AvgSpeed=5.56, Score=4
Frame 77: Cars=8, Status=4 points (Congested), Density=0.18, AvgSpeed=5.49, Score=4
Frame 78: Cars=8, Status=4 points (Congested), Density=0.19, AvgSpeed=5.49, Score=4
Frame 79: Cars=8, Status=4 points (Congested), Density=0.19, AvgSpeed=5.65, Score=4
Frame 80: Cars=8, Status=4 points (Congested), Density=0.19, AvgSpeed=5.63, Score=4
Frame 81: Cars=8, Status=4 points (Congested), Density=0.20, AvgSpeed=5.66, Score=4
Frame 82: Cars=8, Status=4 points (Congested), Density=0.21, AvgSpeed=5.64, Score=4
Frame 83: Cars=8, Status=4 points (Congested), Density=0.21, AvgSpeed=5.62, Score=4
Frame 84: Cars=8, Status=4 points (Congested), Density=0.21, AvgSpeed=5.64, Score=4
Frame 85: Cars=8, Status=4 points (Congested), Density=0.22, AvgSpeed=5.65, Score=4
Frame 86: Cars=8, Status=4 points (Congested), Density=0.22, AvgSpeed=5.63, Score=4
Frame 87: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.63, Score=4
Frame 88: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.64, Score=4
Frame 89: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.62, Score=4
Frame 90: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.64, Score=4
Frame 91: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.63, Score=4
Frame 92: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.60, Score=4
Frame 93: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.61, Score=4
Frame 94: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.61, Score=4
Frame 95: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.58, Score=4
Frame 96: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.60, Score=4
Frame 97: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.63, Score=4
Frame 98: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.60, Score=4
Frame 99: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.57, Score=4
Frame 100: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.55, Score=4
Frame 101: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.52, Score=4
Frame 102: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.51, Score=4
Frame 103: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.51, Score=4
Frame 104: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.46, Score=4
Frame 105: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.47, Score=4
Frame 106: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.48, Score=4
Frame 107: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.44, Score=4
Frame 108: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.45, Score=4
Frame 109: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.44, Score=4
Frame 110: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.43, Score=4
Frame 111: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.44, Score=4
Frame 112: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.41, Score=4
