Frame 0: Cars=17, Status=7 points (Heavy Traffic), Density=0.13, AvgSpeed=0.60, Score=7
Frame 1: Cars=17, Status=7 points (Heavy Traffic), Density=0.14, AvgSpeed=0.59, Score=7
Frame 2: Cars=16, Status=7 points (Heavy Traffic), Density=0.14, AvgSpeed=0.60, Score=7
Frame 3: Cars=16, Status=7 points (Heavy Traffic), Density=0.14, AvgSpeed=0.61, Score=7
Frame 4: Cars=16, Status=7 points (Heavy Traffic), Density=0.14, AvgSpeed=0.60, Score=7
Frame 5: Cars=16, Status=7 points (Heavy Traffic), Density=0.14, AvgSpeed=0.61, Score=7
Frame 6: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 7: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.62, Score=7
Frame 8: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 9: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.62, Score=7
Frame 10: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.63, Score=7
Frame 11: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.64, Score=7
Frame 12: Cars=16, Status=7 points (Heavy Traffic), Density=0.16, AvgSpeed=0.65, Score=7
Frame 13: Cars=16, Status=7 points (Heavy Traffic), Density=0.16, AvgSpeed=0.64, Score=7
Frame 14: Cars=16, Status=7 points (Heavy Traffic), Density=0.16, AvgSpeed=0.65, Score=7
Frame 15: Cars=16, Status=7 points (Heavy Traffic), Density=0.16, AvgSpeed=0.66, Score=7
Frame 16: Cars=15, Status=7 points (Heavy Traffic), Density=0.16, AvgSpeed=0.66, Score=7
Frame 17: Cars=15, Status=7 points (Heavy Traffic), Density=0.16, AvgSpeed=0.66, Score=7
Frame 18: Cars=15, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=0.67, Score=6
Frame 19: Cars=15, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=0.67, Score=6
Frame 20: Cars=15, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=0.68, Score=6
Frame 21: Cars=15, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=0.69, Score=6
Frame 22: Cars=15, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=0.70, Score=6
Frame 23: Cars=15, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=0.70, Score=6
Frame 24: Cars=15, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=0.71, Score=6
Frame 25: Cars=15, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=0.71, Score=6
Frame 26: Cars=15, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=0.71, Score=6
Frame 27: Cars=14, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=0.74, Score=6
Frame 28: Cars=14, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=0.76, Score=6
Frame 29: Cars=14, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=0.76, Score=6
Frame 30: Cars=14, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=0.78, Score=6
Frame 31: Cars=14, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=0.78, Score=6
Frame 32: Cars=14, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=0.79, Score=6
Frame 33: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.80, Score=6
Frame 34: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.81, Score=6
Frame 35: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 36: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.84, Score=6
Frame 37: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.85, Score=6
Frame 38: Cars=13, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.86, Score=6
Frame 39: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 40: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.88, Score=6
Frame 41: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.89, Score=6
Frame 42: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.90, Score=6
Frame 43: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.90, Score=6
Frame 44: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.90, Score=6
Frame 45: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.91, Score=6
Frame 46: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.91, Score=6
Frame 47: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.92, Score=6
Frame 48: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.94, Score=6
Frame 49: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.94, Score=6
Frame 50: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.96, Score=6
Frame 51: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.97, Score=6
Frame 52: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.97, Score=6
Frame 53: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.97, Score=6
Frame 54: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.98, Score=6
Frame 55: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 56: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 57: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=1.00, Score=6
Frame 58: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=1.00, Score=6
Frame 59: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 60: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 61: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 62: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 63: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 64: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 65: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 66: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=1.00, Score=6
Frame 67: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 68: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 69: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 70: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 71: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 72: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 73: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 74: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 75: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.98, Score=6
Frame 76: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.99, Score=6
Frame 77: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.97, Score=6
Frame 78: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.97, Score=6
Frame 79: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.97, Score=6
